Word,Count
drawback,3
furniture,3
stock,3
butter,3
preference,3
comfortably,3
performance,3
dua,3
kombucha,3
groups,3
instagram,3
midnight,3
expert,3
cartridge,3
semox,3
mabora,3
freezing,3
beers,3
body,3
leker,3
tires,3
kicks,3
narrow,3
ig,3
16k,3
sm,3
sri,3
trusted,3
crackers,3
exactly,3
champions,3
matos,3
gmaps,3
hazelnuts,3
dj,3
bingsoo,3
outer,3
cappucinonya,3
ga,3
jingkrak,3
flavour,3
teh,3
excelso,3
waffle,3
confused,3
boy,3
aja,3
panini,3
ketan,3
directly,3
connection,3
daksi,3
activity,3
standart,3
quick,3
mangunkarsa,3
terang,3
opens,3
mushollah,3
lover,3
stage,3
jozzz,3
junior,3
roads,3
steadyps,3
gym,3
claws,3
disturb,3
tap,3
terminal,3
meatball,3
indihome,3
alfis,3
kpk,3
sushi,3
las,3
refreshed,3
si,3
retail,3
birthday,3
shaved,3
nom,3
bulbs,3
layout,3
frapuchino,3
shoppee,3
temple,3
angatt,3
lousy,3
pesenkopi,3
yesterday,3
map,3
install,3
delivered,3
ago,3
diferent,3
sambals,3
gut,3
foodcourt,3
friday,3
update,3
maknyusss,3
regulator,3
weird,3
sambele,3
aa,3
batagor,3
airport,3
ote,3
iku,3
2000,3
implies,2
downside,2
kidul,2
universitas,2
amenities,2
create,2
coco,2
mi,2
mind,2
lemonade,2
gomik,2
stamp,2
bangedddddzzzzz,2
creampuff,2
nyore,2
silverqueen,2
pity,2
akong,2
grandparents,2
salespeople,2
unikama,2
coffeegood,2
suipppppp,2
monday,2
susana,2
regarding,2
pleasure,2
broosiss,2
cooks,2
jagoar,2
roasts,2
jodipan,2
half,2
estu,2
met,2
fren,2
15,2
atoz,2
addition,2
dream,2
pikabo,2
ideas,2
intestine,2
religious,2
islamic,2
bonus,2
dudeee,2
amen,2
rekkk,2
ecofriendly,2
hobby,2
airconditioned,2
kanawa,2
muantul,2
ramahh,2
ganteng,2
kikil,2
medium,2
lontong,2
ovomaltine,2
gravy,2
printing,2
convection,2
vendor,2
jacket,2
double,2
maximum,2
wake,2
seliweran,2
sts,2
telern,2
rubber,2
ramas,2
squash,2
sir,2
continued,2
growing,2
rasta,2
cibinong,2
rolling,2
skuyy,2
puolll,2
menunyaa,2
thief,2
servicesatisfied,2
kombi,2
milo,2
mojito,2
mocktail,2
crouffle,2
dermo,2
ufc,2
brotherhood,2
klotoknya,2
celebrate,2
activities,2
gayo,2
girlfriends,2
jose,2
checker,2
muantappp,2
claw,2
cubes,2
danat,2
backbiting,2
appearance,2
deketnya,2
shopee,2
rec,2
sachets,2
ranging,2
karanglo,2
anticorona,2
tot,2
tomorrow,2
poool,2
hottest,2
hababa,2
greenteanya,2
ueenakk,2
mood,2
ventritre,2
men,2
sajen,2
stmjne,2
uti,2
baguuusssprofessional,2
nuances,2
temu,2
power,2
mainly,2
fix,2
plant,2
koko,2
coffeeits,2
tiramisu,2
takoyaki,2
landlord,2
kaffa,2
lais,2
wider,2
candi,2
nemen,2
bosqrecommended,2
flavored,2
abiizzzz,2
coolest,2
songs,2
matah,2
cows,2
packaged,2
juooos,2
cumin,2
alumni,2
benches,2
highend,2
eui,2
madura,2
eman,2
